Code;Description
IC.01;MAINTENANCE ET REPARATION DES MICRO-ORDINATEURS, STATIONS DE TRAVAIL FIXES
IC.02;MAINTENANCE ET REPARATION DES APPAREILS MOBILES
IC.1;MAINTENANCE ET REPARATION DES PERIPHERIQUES INFORMATIQUES
IC.11;MAINTENANCE ET REPARATION DES PERIPHERIQUES INFORMATIQUES
IC.2;MAINTENANCE ET REPARATION DES SERVEURS
IC.21;MAINTENANCE ET REPARATION DES SERVEURS D'APPLICATIONS
IC.22;MAINTENANCE ET REPARATION DES SYST. DE STOCKAGE ET DE SAUVEGARDE DE DONNEES
IC.23;MAINTENANCE ET REPARATION SERVEURS DE CALCUL OU D'EXPLOIT. DE DONNEES SCIENTIF.
IC.24;MAINTENANCE ET REPARATION DES SERVEURS HAUTE PERFORMANCE, SUPER CALCULATEURS
IC.3;MAINTENANCE ET REPARATION DES RESEAUX INFORMATIQUES
IC.31;MAINTENANCE ET REPARATION DES EQUIPEMENTS DE RESEAUX INFORMATIQUES 
IC.4;MAINTENANCE ET REPARATION DES SYSTEMES SPECIALISES
IC.41;MAINTENANCE ET REPARATION DES SYSTEMES SPECIALISES
ID;INFORMATIQUE : SERVICES
ID.0;INFORMATIQUE : SERVICES RELATIFS AUX RESEAUX
ID.01;INFORMATIQUE : PRESTATIONS D'ADMINISTRATION ET EXPLOITATION DE SERVICES RESEAUX
ID.1;INFORMATIQUE : AUTRES SERVICES
ID.11;INFORMATIQUE : SCHEMA DIRECTEUR ET AUDIT
ID.12;INFORMATIQUE : ASSISTANCE A MAITRISE D'OUVRAGE
ID.13;INFORMATIQUE : ASSISTANCE A MAITRISE D'ŒUVRE
ID.14;INFORMATIQUE : TRAITEMENTS INFORMATIQUES
ID.15;INFORMATIQUE : INFOGERANCE DE SYSTEMES D'INFORMATION
ID.16;INFORMATIQUE : DEVELOPPEMENTS D'APPLICATION DE SYSTEMES D'INFORMATION 
ID.17;INFORMATIQUE : DEVELOPPEMENTS D'APPLICATION A USAGE SCIENTIFIQUE
ID.18;INFORMATIQUE : AUTRES MISSIONS D'ETUDES ET DE CONSEILS
ID.19;INFORMATIQUE : AUTRES SERVICES INFORMATIQUES
IE;AUDIOVISUEL : EQUIPEMENTS, CONSOMMABLES ET PIECES DETACHEES
IE.0;AUDIOVISUEL : EQUIPEMENTS DE PRODUCTION AUDIOVISUELLE
IE.01;APPAREILS DE PRODUCTION AUDIOVISUELLE 
IE.02;EQUIPEMENTS DE VISIOCONFERENCE
IE.1;AUDIOVISUEL : PIECES DETACHEES ET CONSOMMABLES POUR L'AUDIOVISUEL
IE.11;PIECES DETACHEES POUR L'AUDIOVISUEL
IE.12;CONSOMMABLES POUR L'AUDIOVISUEL (HORS CONSOMMABLES INFORMATIQUES)
IE.2;AUDIOVISUEL : EQUIPEMENTS ET CONSOMMABLES POUR LE SON
IE.21;APPAREILS DE RECEPTION, ENREGISTREMENT OU REPRODUCTION DU SON 
IE.22;CONSOMMABLES POUR APPAREILS DE RECEP., ENREG. OU REPRO. DU SON
IE.23;APPAREILS PROFESSIONNELS DE RECEPT., ENREG. OU REPROD. DU SON (BROADCAST)
IE.3;AUDIOVISUEL : EQUIPEMENTS ET CONSOMMABLES POUR L'IMAGE
IE.31;APPAREILS DE RECEPTION ENREGISTREMENT REPRODUCTION IMAGE
IE.32;VIDEOPROJECTEURS
IE.33;TABLEAUX BLANCS INTERACTIFS
IE.34;CONSOMMABLES POUR APPAREILS DE RECEPT., ENREG. OU REPROD. DE L'IMAGE 
IE.35;APPAREILS PROFESSIONNELS DE RECEP., ENREG. OU REPROD. DE L'IMAGE (BROADCAST)
IE.36;MATERIEL PHOTOGRAPHIQUE
IE.37;PREPARATIONS ET PRODUITS DE LABORATOIRE POUR LA PHOTOGRAPHIE 
IE.4;AUDIOVISUEL : EQUIPEMENTS ET CONSOMMABLES CINEMATOGRAPHIQUES
IE.41;MATERIEL CINEMATOGRAPHIQUE
IE.42;PLAQUES, PELLICULES, FILMS ET SURFACES SENSIBLES POUR LE CINEMA
IE.43;PREPARATIONS ET PRODUITS DE LABORATOIRE POUR LE CINEMA
IF;AUDIOVISUEL : MAINTENANCE, ENTRETIEN ET REPARATION DES EQUIPEMENTS AUDIOVISUELS
IF.0;MAINTENANCE ET REPARATION DES EQUIPEMENTS AUDIOVISUELS
IF.01;MAINTENANCE ET REPAR. D'APPAREILS DE PRODUCTION AUDIOVISUELLE
IF.02;MAINTENANCE ET REPAR. DES APPAREILS DE RECEPT., ENREG. OU REPROD. DU SON
IF.03;MAINTENANCE ET REPAR. DES APPAREILS PROFES. DE RECEP., ENREG. OU REPROD. DU SON
IF.04;MAINTENANCE ET REPAR. DES APPAREILS DE RECEPT. ENREG. OU REPROD. DE L'IMAGE
IF.05;MAINTENANCE ET REPAR. DES APPAR. PROFES. DE RECEP., ENREG. OU REPROD. DE L'IMAGE
IF.06;MAINTENANCE ET REPAR. DU MATERIEL PHOTOGRAPHIQUE
IF.07;MAINTENANCE ET REPAR. DU MATERIEL CINEMATOGRAPHIQUE
IG;TELECOMMUNICATIONS : MATERIEL ET GROS EQUIPEMENTS DE TELECOMMUNICATION
IG.0;TELECOMMUNICATIONS : EQUIPEMENTS DE TELEPHONIE 
IG.01;TELECOMMUNICATIONS : TERMINAUX DE TELEPHONIE FIXE
IG.02;TELECOMMUNICATIONS : TERMINAUX DE TELEPHONIE MOBILE
IG.03;TELECOMMUNICATIONS : AUTRES TERMINAUX : TELECOPIEURS, TELEIMPRIMEURS
IG.04;TELECOMMUNICATIONS : AUTRES EQUIPEMENTS DE TELECOMUNICATIONS
IH;TELECOMMUNICATIONS : MAINTENANCE, ENTRETIEN ET REPARATION DES EQUIPEMENTS
IH.0;TELECOMMUNICATIONS : MAINTENANCE, ENTRETIEN ET REPARATION DES EQUIPEMENTS
IH.01;MAINTENANCE ET REPARATION DES EQUIPEMENTS DE TELEPHONIE
IH.02;MAINTENANCE ET REPARATION DES POSTES TELEPHONIQUES D'USAGERS ET AUTRES TERMINAUX
IH.03;MAINTENANCE ET REPARATION DES AUTRES EQUIPEMENTS DE TELECOMUNICATIONS
II;TELECOMMUNICATIONS : SERVICES
II.0;TELECOMMUNICATIONS : ABONNEMENTS ET CONSOMMATIONS DE TELEPHONIE
II.01;TELECOM : CONSOMMATIONS, ABONNEMENTS, RACCORDEMENTS TELEPHONIE FILAIRE
II.02;TELECOM : CONSOMMATIONS, ABONNEMENTS TELEPHONIE MOBILE (VOIX ET DATA)
II.03;TELECOM : LIAISONS SPECIALISEES (FIBRES OPTIQUES, NOIRES, LIAISONS LOUEES...)
II.04;TELECOMMUNICATIONS : CONSOMMATIONS, ABONNEMENTS LIAISONS IRIDIUM
II.05;TELECOMMUNICATIONS : PRESTATIONS DE REPRISE ET REINTEGRATION DES DONNEES
II.1;TELECOMMUNICATIONS : AUTRES SERVICES EN TELECOMMUNICATIONS
II.11;TELECOMMUNICATIONS : INSTALLATION ET MONTAGE DE MATERIEL DE TELEPHONIE 
II.12;TELECOMMUNICATIONS : MISE EN PLACE DE PLATE-FORMES TELEPHONIQUES
II.13;TELECOMMUNICATIONS : SERVICES DE CONSEIL / AMO EN TELECOMMUNICATION 
J;AMENAGEMENT DE LABORATOIRE ET DE SALLE DE TP
JA;AMENAGEMENT ET MOBILIER DE LABORATOIRE ET DE SALLE DE TP
JA.0;MOBILIER DE LABORATOIRE ET DE SALLE DE TP
JA.01;ARMOIRES SIMPLES, RANGEMENTS, CHAISES ET CHARIOTS DE LABORATOIRE
JA.02;PAILLASSES DE LABORATOIRE
JA.03;CLOISONS DE SALLE BLANCHE
JA.1;TRAITEMENT DE L'AIR AMBIANT ET DE L'EAU
JA.11;TRAITEMENT DE L'AIR : EQUIPEMENTS DE PURIFICATION DE L'AIR (SALLE BLANCHE,…)
JA.12;TRAITEMENT DE L'AIR : CONSOMMABLES ET PIECES DETACHEES DEDIES AUX EQUIPEMENTS
JA.13;TRAITEMENT DE L'EAU : MATERIEL DE PURIFICATION D'EAU ET ACCESSOIRES
JA.14;TRAITEMENT DE L'EAU : CONSOMMABLES ET PIECES DETACHEES
JB;REPARATION ET MAINTENANCE DES EQUIPEMENTS DE TRAITEMENT DE L'AIR ET DE L'EAU
JB.0;REPARATION ET MAINTENANCE DES EQUIPEMENTS DE TRAITEMENT DE L'AIR AMBIANT
JB.01;TRAITEMENT DE L'AIR : REPARATION ET MAINTENANCE EQUIPEMENTS (SALLE BLANCHE,…)
JB.1;REPARATION ET MAINTENANCE DES EQUIPEMENTS DE TRAITEMENT DE L'EAU
JB.11;TRAITEMENT DE L'EAU : REPARATION ET MAINTENANCE DES EQUIPEMENTS (OSMOSEURS,…)
K;EXPERIMENTATION ANIMALE - ELEVAGE ANIMAL - CONSERVATION ANIMALE - ETUDE DES ANIMAUX
KA;ANIMAUX
KA.0;RONGEURS ET AUTRES PETITS MAMMIFERES DE LABORATOIRE
KA.01;RATS ET LIGNEES ENTRETENUES DE RATS
KA.02;SOURIS ET LIGNEES ENTRETENUES DE SOURIS
KA.03;COBAYES ET LIGNEES ENTRETENUES DE COBAYES
KA.04;LAPINS ET LIGNEES ENTRETENUES DE LAPINS
KA.05;AUTRES RONGEURS ET PETITS MAMMIFERES (CHIENS, CHATS,…)
KA.1;MOYENS ET GROS MAMMIFERES DE LABORATOIRE
KA.11;PRIMATES ET LIGNEES ENTRETENUES DE PRIMATES
KA.12;BOVINS ET LIGNEES ENTRETENUES DE BOVINS
KA.13;OVINS, CAPRINS ET LIGNEES ENTRETENUES D'OVINS ET CAPRINS
KA.14;PORCINS ET LIGNEES ENTRETENUES DE PORCINS
KA.15;AUTRES GROS MAMMIFERES (EQUIDES…)
KA.2;OISEAUX (VOLAILLES, ŒUFS, AUTRES OISEAUX) DE LABORATOIRE
KA.21;VOLAILLES ET LIGNEES ENTRETENUES DE VOLAILLES
KA.22;ŒUFS D'OISEAUX
KA.23;AUTRES OISEAUX QUE VOLAILLES
KA.3;AUTRES ANIMAUX DE LABORATOIRE
KA.31;AMPHIBIENS ET LIGNEES ENTRETENUES D'AMPHIBIENS
KA.32;POISSONS ET LIGNEES ENTRETENUES DE POISSONS
KA.33;INSECTES, ARACHNIDES ET LIGNEES ENTRETENUES D'INSECTES ET ARACHNIDES
KA.34;AUTRES ANIMAUX (CRUSTACES, MOLLUSQUES, REPTILES…)
KA.4;ANIMAUX SANS FINALITE SCIENTIFIQUE
KA.41;ANIMAUX SANS FINALITE EXPERIMENTALE (CHEVAUX D'EQUITATION,…)
KB;ALIMENTATION POUR ANIMAUX
KB.0;ALIMENTS POUR RONGEURS ET PETITS MAMMIFERES
KB.01;ALIMENTS NON COMPOSES POUR RONGEURS ET PETITS MAMMIFERES
KB.02;ALIMENTS COMPOSES POUR RONGEURS ET PETITS MAMMIFERES
KB.03;COMPLEMENTS VITAMINIQUES ET OLIGO-ELEMENTS POUR RONGEURS ET PETITS MAMMIFERES
KB.1;ALIMENTS COMPOSES, CONDITIONNES OU TRANSFORMES POUR GROS MAMMIFERES ET OISEAUX
KB.11;ALIMENTS ORIG. ANIMALE COMPOS., CONDITION. OU TRANSF. PR GROS MAMMIF. ET OISEAUX
KB.12;ALIMENTS VEGETAUX COMPOSES, CONDITIONNES OU TRANSF. PR GROS MAMMIF. ET OISEAUX
KB.13;COMPLEMENTS ALIMENTAIRES POUR GROS MAMMIFERES ET OISEAUX
KB.2;ALIMENTS NON TRANSFORMES POUR ANIMAUX
KB.21;FRUITS ET LEGUMES POUR L'ALIMENTATION DES ANIMAUX
KB.22;ALIMENTS RECOLTES POUR GROS MAMMIFERES ET OISEAUX (GRAIN, FOURRAGE,...)
KB.23;VIANDES ET POISSONS POUR L'ALIMENTATION DES ANIMAUX
KB.24;PETITS ANIMAUX VIVANTS POUR L'ALIMENTATION DES ANIMAUX
KB.3;ALIMENTS POUR AUTRES ANIMAUX
KB.31;ALIMENTS POUR AUTRES ANIMAUX (POISSONS, BATRACIENS, ETC.)
KB.4;MATIERES PREMIERES POUR LA FABRICATION D'ALIMENTS POUR ANIMAUX
KB.41;MATIERES PREMIERES POUR LA FABRICATION D'ALIMENTS POUR ANIMAUX
KC;EQUIPEMENTS ET CONSOMMABLES POUR LES MILIEUX ANIMALIERS
KC.0;EQUIPEMENTS ET CONSOMMABLES D'IDENTIFICATION DES ANIMAUX (MARQUAGE)
KC.01;EQUIPEMENTS ET CONSOMMABLES D'IDENTIFICATION DES ANIMAUX (MARQUAGE)
KC.1;EQUIPEMENTS DE CONTENTION EN ANIMALERIE ET MILIEU D'ELEVAGE
KC.11;EQUIPEMENTS DE CONTENTION (CAGES...) ET ACCESSOIRES D'ANIMALERIE
KC.12;EQUIPEMENTS DE CONTENTION DES GROS MAMMIFERES
KC.13;EQUIPEMENTS DE CONTENTION DES POISSONS, REPTILES ET BATRACIENS
KC.2;EQUIPEMENTS ET CONSOMMABLES D'HYGIENE ET DE SOINS DES ANIMAUX
KC.21;LITIERE
KC.22;MATERIEL DE LAVAGE ET DESINFECTION DES ANIMALERIES ET MILIEUX D'ELEVAGE
KC.23;CONSOMMABLES D'HYGIENE ET DE SOIN DES ANIMAUX
KC.24;CONSOMMABLES ET PRODUITS VETERINAIRES
KC.25;MATERIELS POUR L'ENTRETIEN ET LE SOIN DES ANIMAUX
KC.3;EQUIPEMENTS POUR LA PREPARATION, LA DISTRIBUTION ET LA CONSERVATION D'ALIMENTS
KC.31;MATERIEL DE PREPARATION ET DE DISTRIBUTION D'ALIMENTS POUR ANIMAUX
KC.32;MATERIEL POUR LA CONSERVATION D'ALIMENTS POUR ANIMAUX
KC.4;EQUIPEMENTS ET CONSOMMABLES POUR L'EXPLOITATION ANIMALE
KC.41;VETEMENTS ET EQUIPEMENTS POUR L'EQUITATION
KC.42;MATERIELS ET CONSOMMABLES DE TRAITE, ABATTAGE, CRIBLAGE…
KC.5;EQUIPEMENTS ET CONSOMMABLES POUR L'ETUDE DES ANIMAUX
KC.51;MATERIELS ET CONSOMMABLES POUR L'ETUDE DU COMPORTEMENT ANIMAL
KD;EXPERIMENTATION ANIMALE : MOLECULES, PRODUITS ET CONSOMMABLES DE SOIN
KD.0;PREPARATIONS PHARMACEUTIQUES POUR EXPERIMENTATION ANIMALE
KD.01;SUBSTANCES ACTIVES MEDICAMENTEUSES VETERINAIRES NATURELLES
KD.02;SUBSTANCES ACTIVES MEDICAMENTEUSES VETERINAIRES SYNTHETIQUES
KD.03;EXCIPIENTS VETERINAIRES D'ORIGINE NATURELLE
KD.04;EXCIPIENTS VETERINAIRES D'ORIGINE SYNTHETIQUE
KD.05;MEDICAMENTS ET PREPARATIONS MEDICAMENTEUSES A DESTINATION ANIMALE
KD.1;VACCINS POUR EXPERIMENTATION ANIMALE
KD.11;VACCINS POUR EXPERIMENTATION ANIMALE
KD.12;ADDITIFS POUR VACCINS POUR EXPERIMENTATION ANIMALE
KD.2;PETITES FOURNITURES PRODUITS ET CONSOMMABLES DE SOINS POUR EXPERIMENTATION ANIMALE
KD.21;CONSOMMABLES ET PRODUITS DE SOINS POUR EXPERIMENTATION ANIMALE
KE;MATERIELS ET CONSOMMABLES DE LABORATOIRE D'EXPERIMENTATION ANIMALE
KE.0;MATERIELS ET CONSOMMABLES POUR L'IMAGERIE ANIMALE
KE.01;EQUIPEMENTS D'IMAGERIE ANIMALE
KE.02;CONSOMMABLES D'IMAGERIE ANIMALE
KE.1;MATERIELS ET CONSOMMABLES D'ANESTHESIE ET TECHNIQUES OPERATOIRES
KE.11;MATERIELS D'ANESTHESIE
KE.12;MATERIELS CHIRUGICAUX ET DE TECHNIQUES OPERATOIRES ANIMALES
KE.13;CONSOMMABLES D'ANESTHESIE ET DE TECHNIQUES OPERATOIRES ANIMALES
KE.2;MATERIELS ET CONSOMMABLES D'INVESTIGATION ANIMALE
KE.21;MATERIELS CARDIOVASCULAIRES, RENAUX ET RESPIRATOIRES
KE.22;CONSOMMABLES POUR EQUIPEMENTS D'EXPERIMENTATION ANIMALE
KE.23;AUTRES EQUIPEMENTS D'INVESTIGATION ANIMALE
KE.3;AUTRES MATERIELS ET CONSOMMABLES D'EXPERIMENTATION ANIMALE
KE.31;AUTRES EQUIPEMENTS ET CONSOMMABLES D'EXPERIMENTATION ANIMALE
KE.4;EQUIPEMENTS ET CONSOMMABLES POUR L'EXPLOITATION ANIMALE
KE.41;EQUIPEMENTS ET CONSOMMABLES POUR L'EXPLOITATION ANIMALE
KE.5;EQUIPEMENTS ET CONSOMMABLES POUR L'ETUDE DES ANIMAUX
KE.51;MATERIELS ET CONSOMMABLES POUR L'ETUDE DU COMPORTEMENT ANIMAL
KF;ELEVAGE ET EXPERIMENTATION ANIMALE : MAINTENANCE ET REPARATION DES EQUIPEMENTS
KF.0;MAINTENANCE ET REPARATION DU MATERIEL D'ELEVAGE ANIMAL ET ETUDE DES ANIMAUX
KF.01;MAINTENANCE REPAR. CONTRÔLE MATERIEL DE DESINFECT. ET LAVAGE DES ANIMALERIES
KF.02;MAINTENANCE ET REPARATION DES AUTRES EQUIPEMENTS D'ELEVAGE ANIMAL
KF.03;MAINTENANCE ET REPARATION DES MATERIELS POUR L'ETUDE DES ANIMAUX
KF.1;MAINTENANCE ET REPARATION DES EQUIPEMENTS D'EXPERIMENTATION ANIMALE
KF.11;MAINTENANCE ET REPARATION DES MATERIELS D'IMAGERIE ANIMALE
KF.12;MAINTENANCE ET REPARATION DES MATERIELS D'ANESTHESIE ET DE TECHNIQ. OPERATOIRES
KF.13;MAINTENANCE ET REPARATION DES MATERIELS D'INVESTIGATION ANIMALE
KF.14;MAINTENANCE ET REPARATION DES AUTRES MATERIELS D'EXPERIMENTATION ANIMALE
KG;ELEVAGE - EXPERIMENTATION ET CONSERVATION ANIMALE : SERVICES
KG.0;ELEVAGE : SERVICES RELATIFS A L'ELEVAGE ET LA CONSERVATION DES ANIMAUX
KG.01;SERVICES D'EXTERNALISATION DE LA GESTION D'UNE ANIMALERIE
KG.02;CONTROLES SANITAIRES ET ANALYSES VETERINAIRES
KG.03;SERVICES RELATIFS A LA REPRODUCTION DES ANIMAUX
KG.04;AUTRES SERVICES VETERINAIRES
KG.05;AUTRES SERVICES RELATIFS A L'ELEVAGE DES ANIMAUX
KG.1;EXPERIMENTATION ANIMALE : SERVICES SPECIALISES
KG.11;SERVICES D'IMAGERIE ANIMALE
KG.12;AUTRES SERVICES D'EXPERIMENTATION ANIMALE
L;MEDICAL
LA;MEDICAL : MEDICAMENTS ET VACCINS
LA.0;MEDICAL : MEDICAMENTS
LA.01;SUBSTANCES ACTIVES MEDICAMENTEUSES NATURELLES
LA.02;SUBSTANCES ACTIVES MEDICAMENTEUSES SYNTHETIQUES
LA.03;EXCIPIENTS D'ORIGINE NATURELLE
LA.04;EXCIPIENTS D'ORIGINE SYNTHETIQUE
LA.05;MEDICAMENTS ET PREPARATIONS MEDICAMENTEUSES
LA.1;MEDICAL : VACCINS
LA.11;VACCINS
LA.12;ADDITIFS POUR VACCINS
LB;MEDICAL : EQUIPEMENTS ET CONSOMMABLES
LB.0;MEDICAL : EQUIPEMENTS, PRODUITS ET CONSOMMABLES DE SOINS MEDICAUX
LB.01;EQUIPEMENTS DE CABINETS MEDICAUX, Y COMPRIS POUR MEDECINE DU TRAVAIL
LB.02;PETIT MATERIEL POUR CABINETS MEDICAUX, Y COMPRIS POUR MEDECINE DU TRAVAIL
LB.03;PRODUITS ET CONSOMMABLES DE SOINS MEDICAUX
LB.1;MEDICAL : IMAGERIE MEDICALE
LB.11;EQUIPEMENTS D'IMAGERIE MEDICALE (IRM, SCANNER,...)
LB.12;CONSOMMABLES POUR LES EQUIPEMENTS D'IMAGERIE MEDICALE
LB.2;MEDICAL : ANESTHESIES ET TECHNIQUES OPERATOIRES
LB.21;EQUIPEMENTS D'ANESTHESIE ET DE TECHNIQUES OPERATOIRES
LB.22;CONSOMMABLES D'ANESTHESIE ET DE TECHNIQUES OPERATOIRES
LB.3;MEDICAL : INVESTIGATIONS CLINIQUES
LB.31;MATERIEL D'INVESTIGATION CARDIOVASCUL., RENALE ET RESPIRAT.
LB.32;AUTRES EQUIPEMENTS D'INVESTIGATION CLINIQUE
LB.33;CONSOMMABLES ET REACTIFS D'INVESTIGATION CLINIQUE
LB.4;MEDICAL : AUTOMATES D'ANALYSES MEDICALES
LB.41;AUTOMATES D'ANALYSES MEDICALES
LB.42;CONSOMMABLES POUR AUTOMATES D'ANALYSES MEDICALES
LB.5;MEDICAL : ODONTOLOGIE
LB.51;PETITS MATERIELS POUR ODONTOLOGIE
LB.52;PRODUITS ET CONSOMMABLES  POUR ODONTOLOGIE
LB.53;EQUIPEMENTS D'IMAGERIE  POUR ODONTOLOGIE
LB.54;CONSOMMABLES D'IMAGERIE POUR ODONTOLOGIE
LB.6;MEDICAL : OPTIQUE ET OPHTALMOLOGIE
LB.61;FOURNITURES OPTIQUES (VERRES, LUNETTES,…)
LB.62;MATERIELS D'OPHTALMOLOGIE
LC;MEDICAL : MAINTENANCE ET REPARATION DES EQUIPEMENTS MEDICAUX
LC.0;MEDICAL : MAINTENANCE ET REPARATION DES EQUIPEMENTS MEDICAUX
LC.01;MAINTENANCE ET REPARATION DES EQUIPEMENTS D'IMAGERIE MEDICALE (IRM,…)
LC.02;MAINTENANCE ET REPARATION DU MATERIEL D'ANESTHESIE ET DE TECH. OPERATOIRES
LC.03;MAINTENANCE ET REPARATION DES EQUIPEMENTS D'INVESTIGATION CLINIQUE
LC.04;MAINTENANCE ET REPARATION DES EQUIPEMENTS DE BIOCHIMIE CLINIQUE
LC.05;MAINTENANCE ET REPARATION DES EQUIPEMENTS D'ODONTOLOGIE
LC.06;MAINTENANCE ET REPARATION DES MATERIELS D'OPHTALMOLOGIE
LD;MEDICAL : SERVICES
LD.0;MEDICAL : SERVICES D'ETUDES A CARACTERE MEDICAL
LD.01;SERVICES DE CONDUITE D'ESSAIS CLINIQUES (PHASES I A IV)
LD.02;SERV. DE COND. D'ETUDES ET D'ENQUÊTES D'EPIDEMIO., SANTE PUBL. ET SOCIOL MEDIC.
LD.03;SERV. DE COND. D'ETUDES A CARACTERE MEDICAL, HORS ESSAIS CLINIQUES ET ENQUÊTES
LD.1;MEDICAL : SERVICES D'IMAGERIE MEDICALE
LD.11;SERVICES D'IRM
LD.12;AUTRES SERVICES D'IMAGERIE MEDICALE
LD.2;MEDICAL : SERVICES D'ANALYSES MEDICALES
LD.21;SERVICES D'ANALYSES SANGUINES
LD.22;AUTRES SERVICES D'ANALYSE MEDICALE
LD.3;MEDICAL : AUTRES SERVICES MEDICAUX
LD.31;AUTRES SERVICES MEDICAUX
M;MICROSCOPIE - PROFILOMETRIE
MA;MICROSCOPIE - PROFILOMETRIE : MATERIEL, ACCESSOIRES ET CONSOMMABLES
MA.0;MICROSCOPIE : MATERIEL ET CONSOMMABLES POUR PREPARATION D'ECHANTILLONS POUR MICROSCOPIE
MA.01;MATERIEL DE PREPARATION D'ECHANTILLONS POUR MICROSCOPIE
MA.02;CONSOMMABLES POUR LA PREPARATION D'ECHANTILLONS (HORS LAMES)
MA.1;MICROSCOPIE A CHAMP PROCHE ET PROFILOMETRIE A CONTACT : EQUIPEMENTS, ACCESSOIRES ET CONSOMMABLES SPECIFIQUES
MA.11;MICROSCOPES A CHAMP PROCHE (AFM, SPM, SNOM, ELECTROCHIMIQUES…)
MA.12;PROFILOMETRES A CONTACT
MA.13;POINTES ET AUTRES CONSOMMABLES POUR MICROSCOPES A CHAMP PROCHE
MA.14;MICROSCOPIE A CHAMP PROCHE : AUTRE MATERIEL ET PIECES DETACHEES
MA.15;MICROSCOPIE A CHAMP PROCHE : ELECTRONIQUE DE REMPLACEMENT
MA.2;MICROSCOPIE ELECTRONIQUE ET IONIQUE : EQUIPEMENTS, ACCESSOIRES ET CONSOMMABLES SPECIFIQUES
MA.21;MICROSCOPES ELECTRONIQUES ET IONIQUES
MA.22;MICROSCOPIE ELECTRONIQUE ET IONIQUE : DETECTEURS SPECIFIQUES
MA.23;MICROSCOPIE ELECTRONIQUE ET IONIQUE : CAMERAS
MA.24;MICROSCOPIE ELECTRONIQUE ET IONIQUE : AUTRE MATERIEL ET PIECES DETAC. HORS N1
MA.25;MICROSCOPIE ELECTRONIQUE ET IONIQUE : ELECTRONIQUE DE REMPLACEMENT
MA.3;MICROSCOPIE ACOUSTIQUE : EQUIPEMENTS, ACCESSOIRES ET CONSOMMABLES SPECIFIQUES
MA.31;SYSTÈMES DE MICROSCOPIE ACOUSTIQUE
MA.32;MICROSCOPIE ACOUSTIQUE : ACCESSOIRES, CONSOMMABLES ET PIECES DETACHEES
MA.33;MICROSCOPIE ACOUSTIQUE : ELECTRONIQUE DE REMPLACEMENT
MA.4;MICROSCOPIE ET PROFILOMETRIE OPTIQUE : EQUIPEMENTS, ACCESSOIRES ET CONSOMMABLES SPECIFIQUES
MA.41;MICROSCOPIE A ANGLE DE BREWSTER : EQUIPEMENTS ET ACCESSOIRES
MA.42;PROFILOMETRES OPTIQUES
MA.43;MICROSCOPIE PHOTONIQUE ET DE FLUORESCENCE : LOUPES ET STEREOMICROSCOPES
MA.44;MICROSCOPES PHOTONIQUES ET DE FLUORESCENCE
MA.45;LAMPES POUR MICROSCOPES PHOTONIQUES ET DE FLUORESCENCE
MA.46;MICROSCOPIE OPTIQUE : AUTRE MATERIEL ET PIECES DETACHEES HORS O0
MA.47;AUTRES MICROSCOPES OPTIQUES (MAGNETO-OPTIQUES, A EMISSION DE LUMIERE…)
MA.48;MICROSCOPIE OPTIQUE : ELECTRONIQUE DE REMPLACEMENT
MB;MICROSCOPIE - PROFILOMETRIE : REPARATION ET MAINTENANCE
MB.0;MICROSCOPIE : REPARATION ET MAINTENANCE DES EQUIPEMENTS
MB.01;MATERIEL DE PREP. D'ECHANTILLONS PR MICROSCOPIE : REPARATION ET MAINTENANCE
MB.02;MICROSCOPIE A CHAMP PROCHE ET PROFILOMETRIE : REPARATION ET MAINTENANCE
MB.03;MICROSCOPIE ELECTRONIQUE ET IONIQUE : REPARATION ET MAINTENANCE
MB.04;MICROSCOPIE ACOUSTIQUE : REPARATION ET MAINTENANCE DU MATERIEL
MB.05;MICROSCOPIE OPTIQUE : REPARATION ET MAINTENANCE
MC;MICROSCOPIE - PROFILOMETRIE : SERVICES D'ANALYSE
MC.0;MICROSCOPIE : SERVICES D'ANALYSE
MC.01;MICROSCOPIE A CHAMP PROCHE ET PROFILOMETRIE A CONTACT : SERVICES D'ANALYSE
MC.02;MICROSCOPIE ELECTRONIQUE ET IONIQUE : SERVICES D'ANALYSE
MC.03;MICROSCOPIE ACOUSTIQUE : SERVICES D'ANALYSE
MC.04;MICROSCOPIE PHOTONIQUE ET PROFILOMETRIE OPTIQUE : SERVICES D'ANALYSE
N;CHIMIE ET BIOLOGIE
NA;CHIMIE ET BIOLOGIE : PRODUITS ET REACTIFS
NA.0;CHIMIE ET BIOLOGIE : SOLVANTS
NA.01;SOLVANTS : ACETATE D'ETHYLE ET AUTRES ESTERS
NA.02;SOLVANTS : ACETONE
NA.03;SOLVANTS : ACETONITRILE
NA.04;SOLVANTS : SOLVANTS CHLORES (DICHLOROMETHANE, CHLOROFORME,…)
NA.05;SOLVANTS : EAU ET ALCOOLS (METHANOL, ETHANOL, PROPAN-2-OL,…)
NA.06;SOLVANTS : HYDROCARBURES (PENTANE, HEXANE, HEPTANE,…)
NA.07;SOLVANTS : AUTRES SOLVANTS (ETHERS,…)
NA.08;SOLVANTS : SOLVANTS INDUSTRIELS (FUTS ET TONNELETS)
NA.1;CHIMIE ET BIOLOGIE : PRODUITS ISOTOPIQUES RADIOACTIFS ET NON RADIOACTIFS
NA.11;SOLVANTS ISOTOPIQUES (DEUTERIES,…)
