Code;Description;Detailed English Description;Detailed French Description
CI.01;DOCUMENTATION : SERVICES DE NUMERISATION D'OUVRAGES ET DE DOCUMENTS;Scanning and digitisation of books and documents;Numérisation de documents papier (ouvrages, rapports…)
CI.02;DOCUMENTATION : SERVICES DE NUMERISATION DE FONDS SONORES ET SOURCES AUDIO;Digitisation of audio materials (e.g. tapes, vinyls);Numérisation de sources sonores (cassettes, bandes, vinyles…)
CI.03;DOCUMENTATION : SERVICES DE NUMERISATION DE FONDS AUDIOVISUELS;Digitisation of audiovisual archives (films, tapes);Numérisation d’archives audiovisuelles (films, cassettes…)
CI.04;DOCUMENTATION : AUTRES SERVICES DE GESTION DOCUMENTAIRE;Other non-IT document management services;Autres prestations de gestion documentaire non informatiques
CI.1;DOCUMENTATION : SERVICES D'ARCHIVAGE;Archiving services (traditional and digital);Services liés à l’archivage physique et électronique
CI.11;DOCUMENTATION : SERVICES D'ARCHIVAGE;General archiving services (storage, retrieval);Services courants d’archivage (classement, stockage, consultation)
CI.12;DOCUMENTATION : SERVICES DE CONSEIL ET D'ASSISTANCE EN ARCHIVAGE TRADITIONNEL;Consulting for traditional archive methods;Conseil en organisation d’archives physiques (papier…)
CI.13;DOCUMENTATION : SERVICES DE CONSEIL ET D'ASSISTANCE EN ARCHIVAGE ELECTRONIQUE;Consulting for electronic archiving;Conseil en archivage électronique (GED, SAE…)
CI.14;DOCUMENTATION : AUTRES SERVICES D'ARCHIVAGE;Other archiving services;Autres prestations autour de l’archivage (ex. externalisation)
DA;TRANSPORT DES PERSONNES;Transportation of people;Déplacements professionnels ou institutionnels des personnes
DA.0;SERVICES DE TRANSPORT PAR VOITURE;Car-based transport services;Transports individuels ou petits groupes en voiture
DA.01;SERVICES DE TAXI OU DE VTC;Taxi or ride-hailing services (e.g. Uber, Bolt);Services de taxi ou de transport avec chauffeur (ex. VTC)
DA.02;LOCATION DE VEHICULES ROUTIERS SANS CHAUFFEUR (COURTE DUREE);Short-term rental of vehicles without driver;Location de véhicules sans chauffeur pour courte durée
DB;HEBERGEMENT DES PERSONNES (HORS EVENEMENTIEL);Accommodation for Individuals (Non-Event Related);Accommodation for work trips or official travel, not tied to event participation
DB.1;SERVICES D'HEBERGEMENT DES PERSONNES (HORS EVENEMENTIEL);Accommodation Services (Non-Event Related);Hotel, guesthouse, or dormitory bookings unrelated to conferences or events
DB.11;HEBERGEMENT EN HÔTEL (HORS EVENEMENTIEL);Hotel Accommodation (Non-Event Related);Standard hotel stays for researchers, staff or visitors on official missions
DB.12;HEBERGEMENT EN PENSION, DEMI-PENSION, REFUGE, CAMPING... (HORS EVENEMENTIEL);Guesthouses, Hostels, Refuges, Camping (Non-Event);Alternative lodging like hostels, mountain refuges, or campsites for short-term stays
DC;SERVICES AUXILIAIRES AUX TRANSPORTS ET A L'HEBERGEMENT DE PERSONNES;Ancillary Services for Transport and Accommodation;Supplementary services for managing travel logistics or bookings
DC.0;SERVICES DE RESERVATIONS PAR AGENCES OU CENTRALES;Booking Services via Agencies or Platforms;Use of agencies or online platforms for booking transport or accommodation
DC.01;SERVICES DE RESERVATIONS PAR AGENCES DE VOYAGE OU CENTRALES DE RESERVATION;Travel Agency or Booking Platform Services;Reservations made through agencies like Selectour, Egencia, Trainline Pro, etc.
DC.1;AUTRES SERVICES AUXILIAIRES AUX TRANSPORTS;Other Ancillary Transport Services;Additional services supporting official travel needs (e.g. visa help)
DC.11;SERVICES DE GESTION DES VISAS ET DES FORMALITES ADMINISTRATIVES;Visa and Administrative Support Services;Visa processing, letters of invitation, notarized translations, etc.
EA;ASSURANCES ET SERVICES EN ASSURANCE;Insurance and Insurance-Related Services;Covers insurance contracts and support services for equipment, staff, and infrastructure
EA.0;ASSURANCES DES VEHICULES (RESPONSABILITE CIVILE, DOMMAGES AUX VEHICULES, GARANTIES DU CONDUCTEUR);Vehicle Insurance (Liability, Damage, Driver Coverage);Insurance for vehicles used in public institutions or research facilities
EA.01;ASSURANCES DU PARC VEHICULES ROUTIER;Insurance for Ground Vehicle Fleet;Coverage for cars, vans, or two-wheelers owned by the institution
EA.02;ASSURANCES DE LA FLOTTE AERIENNE;Insurance for Aircraft Fleet;Insurance for drones, small aircrafts, or any institutional flying assets
EA.03;ASSURANCES DES VEHICULES MARITIMES, FLUVIAUX ET LACUSTRES;Insurance for Maritime and River Vehicles;Coverage for boats, barges, or other watercrafts in use
EA.1;ASSURANCES D'AUTRES BIENS;Property and Asset Insurance;Covers buildings, labs, machines, and specialized materials
EA.11;ASSURANCES DE BIENS IMMOBILIERS;Insurance for Real Estate Assets;Coverage for administrative buildings, labs, and housing units
EA.12;ASSURANCES D'EQUIPEMENTS SCIENTIFIQUES;Insurance for Scientific Equipment;Insurance for valuable instruments like NMRs, microscopes, or laser systems
EA.13;ASSURANCES DES MARCHANDISES TRANSPORTEES;Insurance for Transported Goods;Protection during shipment of goods such as chemicals or research tools
EA.14;ASSURANCES DES ANIMAUX;Insurance for Animals;Coverage for livestock or lab animals used in experimental research
EA.2;AUTRES SERVICES D'ASSURANCES;Other Insurance Services;Includes health, repatriation, and liability insurances
EA.21;ASSURANCE RESPONSABILITE CIVILE;Civil Liability Insurance;Covers damages or accidents caused by personnel during work duties
EA.22;ASSURANCES RAPATRIEMENT DES AGENTS EN MISSION;Mission Repatriation Insurance;Insurance for emergency repatriation during official overseas travel
EA.23;ASSURANCES COUVERTURE SANTE / MUTUELLE;Health Coverage / Mutual Insurance;Health or complementary coverage for personnel and researchers
EA.24;AUTRES ASSURANCES;Other Insurance Types;Includes niche insurance types such as cybersecurity or intellectual property coverage
EA.3;SERVICES DE CONSEIL ET AUDIT EN ASSURANCE;Insurance Consulting and Audit Services;Expert advice and audits on institutional insurance policies and compliance
EA.31;SERVICES DE CONSEIL ET AUDIT EN ASSURANCE;Insurance Consulting and Audit Services;Support for optimizing insurance contracts and verifying adequacy of coverage
EB;SERVICES D'ETUDES, ASSISTANCES ET CONSEILS;Consulting, Advisory, and Study Services;Includes audits, financial advice, legal aid, translations, and real estate management
EB.0;SERVICES DE CONSEIL ET ETUDES;Consulting and Study Services;General studies and consulting support, excluding construction and IT
EB.01;ETUDES DE MARCHES DANS LE DOMAINE DE LA VALORISATION DE LA RECHERCHE;Market Studies on Research Commercialization;Studies assessing the potential for turning research into marketable solutions
EB.02;ASSISTANCE A MAITRISE D'OUVRAGE (HORS BATIMENTS ET SI - TELECOM);Project Owner Assistance (Non-Building, Non-IT/Telecom);Support for public-sector project management excluding buildings and information systems
EB.03;CONSEIL EN SECURITE (HORS CHANTIER) ET PROTECTION DES BIENS ET DES PERSONNES;Security Consulting (Excluding Construction Sites);Consulting services for site security, risk mitigation, and personal protection strategies
EB.04;AUTRES MISSIONS D'ETUDES ET DE CONSEIL (HORS BÂTIMENT ET HORS INFORMATIQUE);Other Consulting and Study Missions (Excl. Construction & IT);General advisory services on operational or administrative matters
EB.1;SERVICES D'AUDIT - CERTIFICATION - ACCREDITATION;Audit, Certification, and Accreditation Services;Services ensuring compliance, quality, and legal standards
EB.11;AUDIT ORGANISATIONNEL;Organizational Audits;Evaluation of internal processes, governance, and structure
EB.12;AUDIT FINANCIER;Financial Audits;Examination of financial statements or compliance with funding requirements
EB.13;CERTIFICATION LEGALE DES COMPTES;Statutory Financial Certification;Legally required certification of financial accounts
EB.14;AUDIT ENERGERTIQUE (ENVIRONNEMENTAL, BILAN CARBONE,…);Energy and Environmental Audits (Carbon, etc.);Assessment of energy consumption, environmental footprint, or carbon emissions
EB.15;AUDIT HYGIENE ET SECURITE;Hygiene and Safety Audits;Evaluation of workplace safety, hygiene, and regulatory compliance
EB.16;AUTRES SERVICES D'AUDIT ET D'ACCREDITATION;Other Audit and Accreditation Services;Includes ISO audits, external accreditations, or certifications
EB.2;SERVICES D'ENQUETES;Survey and Investigation Services;Field data collection and opinion research
EB.21;ENQUETES;Surveys;Investigations or institutional assessments, often qualitative
EB.22;SONDAGES;Polls;Quantitative studies such as satisfaction or opinion polling
EB.3;SERVICES FINANCIERS ET COMPTABLES;Financial and Accounting Services;External support for financial operations or investments
EB.31;SERVICES BANCAIRES;Banking Services;Opening accounts, payment processing, or financial operations
EB.32;INTERMEDIATION FINANCIERE ET ACTIVITES DE CONSEIL;Financial Intermediation and Advisory Activities;Consulting on investments, credit, or institutional funds
EB.33;AUTRES SERVICES FINANCIERS ET COMPTABLES;Other Financial and Accounting Services;Includes bookkeeping or external accounting audits
EB.4;SERVICES D'ADMINISTRATION D'IMMEUBLES;Real Estate Administration Services;Management of buildings and office space
EB.41;SERVICES D'ADMINISTRATION D'IMMEUBLES ET FRAIS D'AGENCES IMMOBILIERES;Building Admin & Real Estate Agency Fees;Includes rent, charges, and property agency services
EB.5;SERVICES DE TRADUCTION ET D'INTERPRETARIAT;Translation and Interpretation Services;Language services for international communication
EB.51;SERVICES DE TRADUCTION;Translation Services;Written translations of scientific, administrative, or legal documents
EB.52;SERVICES D'INTERPRETARIAT;Interpretation Services;Oral interpretation during meetings, conferences, or audits
EB.6;SERVICES JURIDIQUES;Legal Services;Support for contracts, legal opinions, or litigation
EB.61;SERVICES DE CONSEILS JURIDIQUES;Legal Advisory Services;Non-contentious legal consulting
EB.62;SERVICES D'ETABLISSEMENT D'ACTES AUTHENTIQUES ET DES AUXILIAIRES DE JUSTICE;Legal Deeds & Justice Auxiliary Services;Notaries, bailiffs, and legal document preparation
EB.63;SERVICES DE REPRESENTATION JURIDIQUE;Legal Representation Services;Lawyers representing public institutions in disputes or litigation
EC;FORMATIONS ET GESTION DES RESSOURCES HUMAINES;Training and Human Resource Management;Covers professional development, HR services, social support, and workplace health
EC.0;FORMATIONS D'ACCOMPAGNEMENT ET TESTS;Support Training and Testing;Training sessions supporting job skills, safety, and soft skills
EC.01;FORMATIONS D'ACCOMPAGNEMENT TECHNIQUES ET METIERS SCIENTIFIQUES;Technical and Scientific Training;Job-specific or lab-related training
EC.02;FORMATIONS D'ACCOMPAGNEMENT EN LANGUES;Language Training;Language courses for professional use
EC.03;FORMATIONS D'ACCOMPAGNEMENT EN BUREAUTIQUE;Office Software Training;Training in tools like Word, Excel, etc.
EC.04;FORMATIONS D'ACCOMPAGNEMENT EN PREVENTION ET SECURITE;Safety and Prevention Training;Courses on workplace safety, emergency procedures, etc.
EC.05;FORMATIONS D'ACCOMPAGNEMENT EN METHODES DE TRAVAIL (MANAGEMENT, SAVOIR ETRE,…);Work Methods Training;Includes soft skills, leadership, and workplace behavior
EC.06;FORMATIONS D'ACCOMPAGNEMENT DES FONCTIONS SUPPORT ET SOUTIEN;Support Role Training;Training for HR, finance, logistics, etc.
EC.07;AUTRES FORMATIONS D'ACCOMPAGNEMENT;Other Support Trainings;Training not falling into other defined categories
EC.08;TESTS PROFESSIONNELS;Professional Testing;Skills assessment or certification tests
EC.1;FORMATIONS PREPARATOIRES;Preparatory Training;Helps staff prepare for exams, licenses, or transitions
EC.11;FORMATIONS D'APPRENTISSAGE DE LA CONDUITE (AUTOMOBILE, BATEAU, AVION,…);Driving/Vehicle Operation Training;Driving, boating, or piloting certification courses
EC.12;PREPARATIONS AUX CONCOURS;Exam Prep for Public Exams;Preparation for competitive exams (concours)
EC.13;PREPARATIONS AUX EXAMENS PROFESSIONNELS;Professional Exam Prep;Courses to pass profession-specific qualifications
EC.14;FORMATIONS D'INSERTION PROFESSIONNELLE;Workforce Entry Training;Training for new hires or reintegration to employment
EC.15;AUTRES FORMATIONS PREPARATOIRES;Other Preparatory Training;Miscellaneous preparation-focused training
EC.2;SERVICES DE GESTION DES RESSOURCES HUMAINES;HR Management Services;External services for managing personnel and HR strategy
EC.21;BILANS DE COMPETENCES, VAE, QUALIFICATION, INSERTION PROFESSIONNELLE;Skills Audits, Certification, Career Development;Career counseling, validation of experience, job placement
EC.22;AUDITS D'UNITES OU DE SERVICES;Departmental HR Audits;Operational or organizational unit assessments
EC.23;ASSISTANCE, CONSEIL ET SERVICES EN RECRUTEMENT;Recruitment Assistance and Consulting;Head-hunting, recruitment agency services
EC.24;PSYCHOLOGUES, GRAPHOLOGUES;Psychologists, Graphologists;Services for psychological assessment or analysis
EC.25;ORGANISATION DE CONCOURS;Competition Organization;Organizing public or internal selection competitions
EC.26;SERVICES D'AGENCES INTERIM;Temporary Staffing Agencies;Interim or short-term personnel services
EC.27;AUTRES SERVICES DE GESTION DES RESSOURCES HUMAINES;Other HR Management Services;Catch-all for HR-related services not categorized above
EC.3;SERVICES SOCIAUX;Social Services;Support for welfare, housing, and reintegration
EC.31;SERVICES SOCIAUX DE CONSEIL EN ECONOMIE SOCIALE ET FAMILIALE;Social-Economic Counseling;Support for household budget or family planning
EC.32;SERVICES SOCIAUX D'HEBERGEMENT;Social Housing Services;Temporary or support housing for staff or affiliates
EC.33;SERVICES SOCIAUX DE REINSERTION;Reintegration Services;Support for re-entering work or society
EC.34;SERVICES SOCIAUX DE SOIN ET D'AIDE A DOMICILE;Home Support and Care Services;Elder care, disability support, or in-home medical aid
EC.35;SERVICES SOCIAUX : ASSISTANTES SOCIALES INTER-ENTREPRISES;Inter-company Social Workers;Professional assistance to multiple institutions
EC.36;AUTRES SERVICES SOCIAUX;Other Social Services;Any other social support measures
EC.4;SERVICES DE MEDECINE DU TRAVAIL;Occupational Health Services;Health monitoring and prevention for staff
EC.41;MEDECINE DE PREVENTION : PRESTATAIRES MEDICAUX;Preventive Medical Services;Medical providers for occupational health
EC.42;MEDECINE DE PREVENTION : FOURNITURES MEDICALES ET DE SOIN;Occupational Medical Supplies;Medical supplies related to workplace health
ED;PROPRIETE INTELLECTUELLE;Intellectual Property;Covers patent filings and IP-related services
ED.0;BREVETS D'INVENTION ET LOGICIELS APP;Invention Patents and Software IP;Services related to patenting inventions and software
ED.01;SERVICES DE DEPOT DE BREVET D'INVENTION ET DE LOGICIELS APP;Patent Filing Services;Formal filing of patents and related applications
ED.02;SERVICES DE PROPRIETE INTELLECTUELLE : BREVET D'INVENTION, GESTION DES ANNUITES;Patent IP and Renewal Services;Patent annuity tracking and management
ED.1;AUTRES SERVICES DANS LE DOMAINE DE LA PROPRIETE INTELLECTUELLE;Other IP Services;General IP management (trademarks, copyrights, etc.)
ED.11;AUTRES SERVICES DE PROPRIETE INTELLECTUELLE (HORS BREVETS D'INVENTION);Non-patent IP Services;Covers trademarks, design rights, etc.
F;FRET / EXPEDITION / TRANSPORT / DEMENAGEMENT;Shipping / Transport / Relocation;Covers logistics for goods and postal services
FA;FOURNITURES, CONSOMMABLES ET PETITS EQUIPEMENTS POUR LE TRANSPORT DE MARCHANDISES ET L'AFFRANCHISSEMENT;Transport Supplies;Equipment and supplies for packing, shipping, weighing
FA.0;FOURNITURES ET EQUIPEMENTS POUR L'EMBALLAGE ET LE TRANSPORT;Packaging and Transport Equipment;Boxes, containers, pallets, protective gear
FA.01;FOURNITURES D'EMBALLAGE ET DE TRANSPORT DE MARCHANDISES ORDINAIRES;Standard Shipping Supplies;General packing materials for routine transport
FA.02;FOURNITURES D'EMBALLAGE POUR LE TRANSPORT DE MARCHANDISES SPECIFIQUES;Specialized Shipping Supplies;Temperature-sensitive, fragile, or hazardous materials
FA.03;EQUIPEMENTS POUR LE DEPLACEMENT DE MARCHANDISES ET ACCESSOIRES;Goods Handling Equipment;Carts, trolleys, lifting tools
FA.1;FOURNITURES ET EQUIPEMENTS POUR L'AFFRANCHISSEMENT;Postage Equipment;Supplies for mail handling and postage
FA.11;EQUIPEMENTS DE PESEE DU COURRIER ET D'HORODATAGE;Mail Scales and Timestamps;Weighing and franking tools
FB;SERVICES D'EXPEDITION DU COURRIER ET SERVICES CONNEXES;Mailing and Related Services;Mail handling, courier, and post-box services
FB.0;SERVICES D'EXPEDITION DU COURRIER;Mail Dispatch Services;All standard mailing services
FB.01;COURRIER : COURRIERS ET AFFRANCHISSEMENT ORDINAIRE;Ordinary Mail Services;Standard post with postage
FB.02;COURRIER : SERVICES DE COURSIERS ET COURRIERS EXPRESS;Courier and Express Mail;Same-day, overnight, or urgent dispatch
FB.1;SERVICES CONNEXES A L'EXPEDITION DE COURRIER;Ancillary Mail Services;Box rental, redirection, distribution
FB.11;SERVICES DE DISTRIBUTION ET ROUTAGE;Routing and Distribution;Mail sorting and delivery organization
FB.12;SERVICES DE BOITES POSTALES, DE POSTE RESTANTE OU DE REEXPEDITION;PO Box and Forwarding Services;Mailbox rentals and mail forwarding
FC;SERVICES D'EXPEDITION/TRANSPORT DE MARCHANDISES;Goods Shipping/Transport Services;Covers logistics for the movement of goods by various means
FC.0;SERVICES D'EXPEDITION ORDINAIRE DE MARCHANDISES ET SERVICES CONNEXES;Ordinary Freight Services;Standard cargo transport and related services
FC.01;TRANSPORTS ROUTIERS ET URBAINS DE MARCHANDISES (EN AFFRETEMENT);Road Freight Services;Urban and highway shipping by truck
FC.02;TRANSPORTS AERIENS DE MARCHANDISES;Air Freight;Goods transport via airplanes
FC.03;TRANSPORTS MARITIMES ET FLUVIAUX EN CONTENEURS;Maritime and River Freight;Shipping in containers by water
FC.04;TRANSPORTS FERROVIAIRES DE MARCHANDISES;Rail Freight;Shipping by train
FC.05;SERVICES DES GARES, AEROPORTS, PORTS FLUVIAUX ET MARITIMES,…;Freight Handling Services;Loading/unloading at transport hubs
FC.1;SERVICES D'EXPEDITION DE MARCHANDISES SPECIALISES;Specialized Goods Shipping;Transport for sensitive or hazardous goods
FC.11;TRANSPORTS SPECIALISES D'ANIMAUX DE LABORATOIRE;Lab Animal Transport;Controlled transport of lab animals
FC.12;TRANSPORTS SPECIALISES DE PRODUITS BIOLOGIQUES UN3373;UN3373 Biological Substance Transport;Medical or biological sample shipping
FC.13;TRANSPORTS DE MARCHANDISES DANGEREUSES;Hazardous Materials Transport;Flammable, corrosive, or regulated materials
FC.14;TRANSPORTS DE PRODUITS INFECTIEUX (CLASSE 6.2);Infectious Materials Shipping;Class 6.2 infectious substances
FC.15;AUTRES SERVICES DE TRANSPORT/EXPEDITION SPECIALISES;Other Specialized Transport Services;Includes niche or complex transport types
FD;SERVICES DE DEPLACEMENT ET D'ENTREPOSAGE DE MARCHANDISES;Goods Relocation and Storage Services;Covers moving, warehousing, and storage logistics
FD.0;SERVICES DE DEPLACEMENT DE MARCHANDISES ET SERVICES CONNEXES;Goods Relocation Services;General goods moving and handling
FD.01;SERVICES DE DEMENAGEMENT COURANTS;Standard Moving Services;Typical relocation of office/lab equipment
FD.02;SERVICES DE DEMONTAGE ET DE DEMENAGEMENT D'INSTRUMENTS;Instrument Moving and Dismantling;Special handling of scientific/technical instruments
FD.03;OPERATIONS DE MANUTENTION MECANIQUE DE MATERIEL;Mechanical Handling Operations;Forklifts, cranes, or mechanical loading
FD.1;SERVICES DE GARDE-MEUBLES ET D'ENTREPOT;Storage Services;Includes both temporary and secured warehousing
FD.11;SERVICES DE GARDE-MEUBLES;Furniture Storage;Temporary or long-term furniture warehousing
FD.12;SERVICES D'ENTREPOT GARDIENNAGE DE MATERIEL;Equipment Warehousing;Secured storage of machinery or scientific material
G;GAZ DE LABORATOIRE OU D'ATELIER - CRYOGENIE;Lab and Workshop Gases – Cryogenics;Includes gas cylinders, high-purity gases, and cryogenic supplies
GA;GAZ DE LABORATOIRE OU D'ATELIER - CRYOGENIE : CONSOMMABLES;Consumables for Lab/Workshop Gases and Cryogenics;Industrial and scientific gases in various forms
GA.0;GAZ D'ATELIER OU DE LABORATOIRE DE QUALITE INDUSTRIELLE CONDITIONNES EN BOUTEILLES;Industrial-Grade Gases in Bottles;Standard-quality bottled gases for lab/workshop use
GA.01;ACETYLENE DE QUALITE INDUSTRIELLE EN BOUTEILLE;Industrial Acetylene in Bottles;Used for welding, cutting, etc.
GA.02;AIR SYNTHETIQUE DE QUALITE INDUSTRIELLE EN BOUTEILLE;Synthetic Air (Industrial Grade);Mixture of oxygen and nitrogen
GA.03;ARGON DE QUALITE INDUSTRIELLE EN BOUTEILLE;Industrial Argon Gas;Used in welding, inert atmosphere applications
GA.04;AZOTE GAZEUX DE QUALITE INDUSTRIELLE EN BOUTEILLE;Industrial Nitrogen Gas;Standard purity nitrogen
GA.05;DIOXYDE DE CARBONE DE QUALITE INDUSTRIELLE EN BOUTEILLE;Industrial Carbon Dioxide;Used in carbonation, welding
GA.06;HELIUM GAZEUX DE QUALITE INDUSTRIELLE EN BOUTEILLE;Industrial Helium Gas;For lifting, leak detection
GA.07;HYDROGENE DE QUALITE INDUSTRIELLE EN BOUTEILLE;Industrial Hydrogen;Used in labs, synthesis
GA.08;OXYGENE DE QUALITE INDUSTRIELLE EN BOUTEILLE;Industrial Oxygen Gas;Used in cutting, combustion
GA.09;AUTRES GAZ SIMPLES OU EN MELANGE DE QUALITE INDUSTRIELLE EN BOUTEILLE;Other Industrial Gases in Bottles;Any non-specified mixtures
GA.1;GAZ DE LABORATOIRE SIMPLES DE TRES HAUTE PURETE;High-Purity Simple Gases;Ultra-pure gases for scientific use
GA.11;ARGON DE TRES HAUTE PURETE (SUPERIEURE A 5.0) EN BOUTEILLE;Ultra-Pure Argon Gas (>5.0);Used for sensitive experiments
GA.12;AZOTE GAZEUX DE TRES HAUTE PURETE (SUPERIEURE A 5.0) EN BOUTEILLE;Ultra-Pure Nitrogen Gas (>5.0);High-purity nitrogen for analytical work
GA.13;DIOXYDE DE CARBONE DE HAUTE PURETE (PURETE SUPERIEURE A D.0) EN BOUTEILLE;High-Purity CO₂ (>D.0);Scientific-grade carbon dioxide
GA.14;GAZ RARES DE TRES HAUTE PURETE (NEON, XENON, KRYPTON,...) EN BOUTEILLE;High-Purity Rare Gases;Specialty gases for niche applications
GA.15;HELIUM GAZEUX DE HAUTE PURETE (PURETE SUPERIEURE A 5.0) EN BOUTEILLE;Ultra-Pure Helium Gas (>5.0);Used in cryogenics and research
GA.16;GAZ FLUORES OU CHLORES DE TRES HAUTE PURETE (SUPERIEURE A D.0) EN BOUTEILLE;Ultra-Pure Fluorinated/Chlorinated Gases;For advanced material science
GA.17;HYDROGENE DE HAUTE PURETE (PURETE SUPERIEURE A 5.0) EN BOUTEILLE;Ultra-Pure Hydrogen Gas (>5.0);Used in fuel cells, labs
GA.18;OXYGENE DE HAUTE PURETE (PURETE SUPERIEURE A 4.5) EN BOUTEILLE;High-Purity Oxygen (>4.5);For clean combustion/oxidation
GA.19;AUTRES GAZ NON MELANGES HAUTE PURETE EN BOUTEILLE;Other High-Purity Gases;Non-mixture, high-purity gases not listed
GA.2;GAZ DE LABORATOIRE EN MELANGE DE TRES HAUTE PURETE;High-Purity Gas Mixtures;Precision mixtures for calibration/experiments
GA.21;MELANGES DE GAZ SCIENTIFIQUES DE HAUTE PURETE EN BOUTEILLE;Scientific High-Purity Gas Mixtures;Used in metrology and testing
GA.3;GAZ MEDICAUX;Medical Gases;Certified gases for medical purposes
GA.31;GAZ MEDICAUX;Medical Gases;O₂, anesthetic mixtures, etc.
GA.4;PRESTATIONS CONNEXES A L'ACHAT DE GAZ CONDITIONNES EN BOUTEILLES;Related Services for Bottled Gases;Includes rental, delivery, safety inspections
GA.41;PRESTATIONS CONNEXES A L'ACHAT DE GAZ EN BOUTEILLES (LOCATION DE BOUTEILLES,…);Bottled Gas Services;Rental and maintenance services
GA.5;GAZ ET CRYOGENIE : GAZ LIQUIDES ET SOLIDES EN VRAC ET DEWAR;Bulk and Cryogenic Gases (Liquid/Solid);Includes delivery in Dewar flasks
GA.51;AZOTE LIQUIDE EN VRAC ET DEWAR;Liquid Nitrogen (Bulk/Dewar);For cooling, freezing
GA.52;HELIUM LIQUIDE EN VRAC ET DEWAR;Liquid Helium;Used in superconducting magnets, NMR
GA.53;ARGON EN VRAC;Bulk Argon;Industrial supply
GA.54;OXYGENE EN VRAC;Bulk Oxygen;Hospital or industrial use
GA.55;GLACE CARBONIQUE (HORS TRANSPORT DE PRODUITS BIOLOGIQUES);Dry Ice;Used for cooling and shipping
GA.6;PRESTATIONS CONNEXES A L'ACHAT DE GAZ LIQUIDES ET SOLIDES EN VRAC;Services for Bulk Gases;Delivery, safety, and handling services
GA.61;PRESTATIONS CONNEXES A L'ACHAT DE GAZ LIQUIDES ET SOLIDES EN VRAC;Bulk Gas Support Services;Accompanying services for liquid/solid gas supply
GB;GAZ DE LABORATOIRE OU D'ATELIER : MATERIEL DE GENERATION, STOCKAGE, DISTRIBUTION ET ANALYSE DES GAZ;Lab/Workshop Gas Equipment – Generation, Storage, Distribution, Analysis;Covers devices and systems for handling gases and cryogenics
GB.0;MATERIEL DE GENERATION, TRAITEMENT ET PREPARATION DES GAZ;Gas Generation and Preparation Equipment;Includes generators, purifiers, liquefiers
GB.01;GENERATEURS DE GAZ (AIR, AZOTE, HYDROGENE, OXYGENE,…);Gas Generators (Air, N₂, H₂, O₂, etc.);In-house gas supply units
GB.02;MATERIEL DE TRAITEMENT ET PURIFICATION DES GAZ (COMPRESSEURS, SECHEURS,…);Gas Treatment/Purification Equipment;Compressors, dryers, and gas cleaners
GB.03;LIQUEFACTEURS ET ACCESSOIRES;Liquefiers and Accessories;Systems for liquefying gases
GB.04;MATERIEL DE PREPARATION DES GAZ (REALISATION DE MELANGES,…);Gas Mixing and Preparation Equipment;Used to create specific gas mixtures
GB.1;MATERIEL DE STOCKAGE ET DE DISTRIBUTION DES GAZ ET PRODUITS CRYOGENIQUES;Storage & Distribution Equipment for Gases & Cryogens;Includes cryostats and cryogenerators
GB.11;MATERIEL DE STOCKAGE DES GAZ ET PRODUITS CRYOGENIQUES;Gas and Cryogenic Storage Equipment;Tanks, Dewars, and bottles
GB.12;MATERIEL DE DISTRIBUTION DES GAZ ET PRODUITS CRYOGENIQUES;Distribution Equipment;Manifolds, piping, regulators
GB.13;CRYOGENERATEURS ET CRYOSTATS (HORS MICROSCOPIE ET RMN);Cryogenerators and Cryostats (excl. microscopy/NMR);Cryo cooling systems
GB.2;INSTRUMENTS POUR L'ANALYSE DES GAZ;Gas Analysis Instruments;Used to quantify and qualify gases
GB.21;INSTRUMENTS POUR L'ANALYSE DES GAZ (HORS RGA);Gas Analysis Instruments (Excl. Residual Gas Analyzers);General gas detection and composition tools
GC;GAZ DE LABORATOIRE OU D'ATELIER - CRYOGENIE : REPARATION ET MAINTENANCE DES EQUIPEMENTS;Gas & Cryogenics Equipment Maintenance;Repair and upkeep of gas systems
GC.0;REPARATION ET MAINTENANCE DES EQUIPEMENTS DE GENERATION, STOCKAGE ET DISTRIBUTION DES GAZ;Repair & Maintenance – Gas Handling Systems;Service support for lab gas equipment
GC.01;REPARATION ET MAINTENANCE DES EQUIPEMENTS DE GENERATION ET TRAITEMENT DES GAZ;Maintenance – Generation & Treatment;Generators, purifiers, dryers
GC.02;REPARATION ET MAINTENANCE DES EQUIPEMENTS DE STOCKAGE ET DISTRIBUTION DES GAZ;Maintenance – Storage & Distribution Equipment;Pipelines, tanks, regulators
GC.03;REPARATION ET MAINTENANCE DES CRYOGENERATEURS ET CRYOSTATS;Maintenance – Cryogenerators & Cryostats;Servicing for cryogenic hardware
H;HYGIENE ET SECURITE AU TRAVAIL;Workplace Hygiene and Safety;All safety, hygiene, and protective systems for personnel
HA;SECURITE AU TRAVAIL : CONSOMMABLES ET EQUIPEMENTS DE PROTECTION INDIVIDUELS ET COLLECTIFS;Personal and Collective Protection Equipment;PPE and safety-related supplies
HA.0;SECURITE AU TRAVAIL : CONSOMMABLES ET EQUIPEMENTS DE PROTECTION INDIVIDUELLE;Personal Protection Equipment (PPE);Consumables and equipment for individual safety
HA.01;EPI : GANTS A USAGE UNIQUE;Disposable Gloves;Single-use protective gloves
HA.02;EPI : AUTRES EPI JETABLES (BLOUSES, SURCHAUSSES, CHARLOTTES, MASQUES…);Other Disposable PPE;Lab coats, shoe covers, hairnets, masks
